序號,地區別,縣市,觀光工廠名稱,地址,觀光工廠預約電話,網址,經緯度(度)Google地圖,102簡介(約90字內)
1,北部,宜蘭市,亞典蛋糕密碼館,宜蘭縣宜蘭市梅洲二路122號,03-9286777,http://www.rden.com.tw,"""24.781036,121.732097""",亞典蛋糕密碼館，館內規劃有展示區、導覽簡報區、現場烘焙區及DIY區… 等。透過館內的介紹，可以了解蛋糕的源由與製程。除了享受亞典蛋糕密碼館為您帶來的「五心級」服務外，更讓您擁有前所未有的感動。
2,北部,宜蘭市,菌寶貝博物館,宜蘭縣宜蘭市梅洲一路22號,03-9281168,http://www.bio-nin.com.tw,"""24.776214,121.735223""",全台唯一以微生物為主體兼具教育性與娛樂性的觀光工廠，提供完整微生物的相關知識導覽解說，有國寶級牛樟芝、鎮館之寶3500年的牛樟樹雕刻品，全台首創黃金蟲草接菌和保養品DIY體驗。
3,北部,宜蘭市,臺灣菸酒(股)公司宜蘭酒廠觀光工廠,宜蘭縣宜蘭市舊城西路3號,03-9355526#461,http://event.ttl-eshop.com.tw/yl/,"""24.75695,121.749523""",1909年創立，是台灣最老的酒廠，生產紅露酒、紅麴香腸、紅糟醬等產品，融入在地特色；廠內日治時期老建築，體現百年歷史縮影，設有酒文物館、紅露藝廊、展售中心等完善休憩設施。
4,北部,宜蘭市,橘之鄉蜜餞觀光工廠,宜蘭縣宜蘭市梅洲二路33號,03-9285758,http://www.agrioz.com.tw,"""24.779943,121.736927""",台灣第一家蜜餞觀光工廠，產品不做化學添加及防腐劑，忠實呈現自然果香，遊客可用視覺、味蕾感受台灣四季水果的變幻滋味，透過參觀工廠能直接了解橘之鄉的堅持與用心。
5,北部,宜蘭縣,宜蘭餅發明館,宜蘭縣蘇澳鎮海山西路369號,03-9905999,http://www.i-cake.com.tw,"""24.614475,121.829157""",館內以濃厚中國風營造婚嫁習俗喜慶氛圍，展示各式餅印，以靜、動態多媒體呈現製餅達人劉鐙徽發明宜蘭餅的故事，開放參觀透明化之生產線，大型DIY教室可體驗親手製作超薄牛舌餅的樂趣。
6,北部,宜蘭縣,金車威士忌酒廠,宜蘭縣員山鄉員山路二段326號,03-9229000#1104,http://www.kavalanwhisky.com.tw,"""24.713691,121.69179""",金車威士忌酒廠是台灣第一座威士忌酒廠，以百年酒廠為目標，運用中央山脈與雪山山脈的清澈水源，打造第一支台灣自行生產的威士忌。口感醇厚、風味迷人，以「KAVALAN」為品牌，榮耀宜蘭。
7,北部,宜蘭縣,博士鴨觀光工廠,宜蘭縣五結鄉福興村新五路1-1號,03-9606051、2,http://www.dr-duck.com.tw/,"""24.682497,121.785123""",「博士鴨」以鴨胸肉研發成各種特色產品，包裝、設計、製造過程，風味調製等皆是兼具色香味美之傑作，除鴨賞外有鴨排、鵝肝卷、博多卷、鵝醬火腿多元化產品，宜蘭唯一鴨賞觀光工廠，歡迎蒞臨!!
8,北部,宜蘭縣,蜡藝彩繪館,宜蘭縣蘇澳鎮德興六路7號,03-9907101,http://www.lucky-art.com.tw,"""24.630829,121.82453""",台灣碩果僅存的蠟筆工廠之一，生產研發的人體彩繪顏料，為歐美各國重大賽事及嘉年華會廣泛使用；彩繪人文與藝術是父母最優質的選擇，能藉由彩繪DIY激發潛能，更是極富寓教於樂的色彩創意天堂。
9,北部,基隆市,一太e衛廚觀光工廠,基隆市安樂區大武崙工業區武訓街51號,02-24342111#503,http://www.itai.com.tw,"""25.147263,121.699609""",國內首家結合教育、知識、文化與觀光的全方位衛廚觀光工廠，展售兼具環保、樂活最新時尚科技衛廚精品，附設亞洲唯一衛浴文化館，展示東西方衛浴文化演進，歡迎來趟豐富知性之旅，絕對不虛此行。
10,北部,新北市,三峽農特產文化館,新北市三峽區正義街18號,02-26723868,http://www.chinafoods.com.tw,"""24.919348,121.369459""",本館運用本地有名之綠竹筍、茶葉為材料，以專業的產銷連貫監督管理體系，確保耕作、施肥、用藥、加工過程的安全衛生，並研發地方伴手禮及特色風味餐飲，提升品牌知名度及本地農產品之附加價值。
11,北部,新北市,大黑松小倆口牛軋糖創意博物館,新北市土城區自強街31之2號,02-22687222,http://www.9420.com.tw,"""24.97193,121.432732""",參觀人數已突破120萬人、65個國家、2萬台車次，館內展示台灣早期牛軋糖的製程、婚禮用品，以「台灣古早味風格」呈現，規劃「孝親大道」，期望喚起年輕E世代人「飲水思源」與「孝親」的中國傳統美德。
12,北部,新北市,工研益壽多文化館,新北市淡水區埤島里46-7號,02-27781981,http://www.kongyen.com.tw,"""25.19967,121.45515""",工研酢於1941年誕生，是臺灣第一間釀酢工廠，從白酢開始生產，逐步研發烏酢、健康酢、味噌、咖哩、各式醬料及冬蟲夏草等多樣化產品。至今堅持以「天然純釀」的原則，誠信經營！
13,北部,新北市,手信坊創意和菓子文化館,新北市土城區國際路55號,02-82620506,http://www.3ssf.com.tw,"""24.977821,121.466603""",手信坊將日本和菓子不同的多元文化加以融入，創造屬於「臺灣本土新一代的菓子」，我們稱為 『創意和菓子』。DIY製菓學園邀請大家一起親身體驗和菓子的極致之美。
14,北部,新北市,王鼎時間科藝體驗館,新北市土城區大暖路136號,02-22682999#12,http://www.atopwatch.com/factory/,"""24.955976,121.423672""",王鼎是以時間為主題的時間科藝體驗館，積極轉型創立ATOP World Time世界時區錶更獲得世界產品設計大賞。傳達計時器的歷史與演進、專利技術展現、鐘錶製程參觀與實際動手組裝體驗，是一座融合時間知識、科學與藝術的時間殿堂。
15,北部,新北市,台灣不二衛生套知識館,新北市淡水區埤島里 46-3 號,02-37655005,http://www.fujicondom.com,"""25.198772,121.45483""",台灣不二衛生套知識館的目標是開放製程檢驗、實驗室，配合體動遊戲互動、DIY等，提供觀光知性娛樂休閒之外，期望更能對社會貢獻教育的另一管道。
16,北部,新北市,玉美人孕婦裝觀光工廠,新北市板橋區四川路２段16巷10號5樓,02-89669762#15,http://www.ymr.com.tw,"""24.997297,121.456266""",創立於1956年，透過生產線參觀了解孕婦裝製作過程，提供親子互動體驗，針對懷孕週期的知識講解，孕婦模擬體驗衣的實際體驗，在參訪過程中更能體會身懷六甲的辛苦感受，營造甜蜜負擔的幸福氛圍。
